,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.321980863466476,0.0674227891841476,-0.0845281481119214,0.39499145103848,0,0.288387504500413,0.065575074203415,-0.247297317506447,0.0735964879314138,0.212140083893342,-0.235143006623549,0.1138526156847,0,0.174683684823354,0,0,0
ETH,0.518516273641751,0,0,0,0.73038378829562,0,0.20404417351041,0,-0.218468476933207,0,0,-0.291161380402579,0.0411742258111125,0,0,0,0,0
DASH,-0.275185111230182,0,0,0,0.102245342156954,-0.0671447700215157,0,0.141012323312091,0,0,0.152666379956973,0.0024657787366904,0,0,0.218099767855361,0,0,0.396963033858154
XRP,0,0,-0.103722461605332,0,0,0,0.0859619618163825,0.158590410086148,0.298994432728498,-0.484160029077815,0.254897095207772,-0.117927616056214,0.136528961442785,0,0,0,0,0.320011979455131
XMR,0.204514322036013,0.430600131133776,0,0,0,0,0,0.206877785834897,0.18740577979067,0,0,-0.10677655406002,0.0211066754427421,0,-0.40223414553615,0,0,-0.186588118243568
LTC,0.266758627098587,0,0.0116385418387617,0.0358932270555871,0.162643584951892,0,0.107065400363186,-0.116733193435761,0.0527307390842575,-0.107943079024737,0.0421087199059749,-0.0012120330532598,-0.0164666338765004,0,0,0,0,0.113383691042677
ETC,0,0.332451456916598,0.0841122318527357,-0.112591609230074,0,1.02865326233193,0,0.0743652949902204,0.111673362297692,0.166052675018329,0.162903313268004,0.0473986352929323,0,-0.565317188395465,0,0,0,0.406485275404709
XEM,0.00000000000000000693889390390723,0.322838931688966,0.352126128771637,-0.0409464551272589,0,-0.680646064191074,0,0,0,-0.00000000000000000693889390390723,0.185821865357381,0,-0.108193366454841,0,0,0,0,-0.298348933515896
ZEC,0.109193558413691,0.153815584086341,0.34549751663757,-0.141917857727554,0,0,0,-0.0760317132056548,0,0.204873856273386,0.187790491409908,0.0416631670381409,-0.229045443729438,-0.0195144419227025,0.350852931330366,-3.86518020539613,-1.02940785690858,0
DOGE,0.246674556568096,0.0219392622173796,0,0,0,0,0,0,0.287856835235109,0,0.293014530498994,-0.0589654329537519,0.163571076892552,0,0,0,0,0.149866772867627
XLM,0.217542011381987,0.00521524633833521,0,-0.12519628649803,0,0,0.21052744120436,0.0636930235334769,-0.0883567651541457,0,0,-0.137860308860225,0,-0.481778191100753,0,0,0,-0.255206675557595
NEO,-0.358199658002594,-0.322960130022554,0,-0.0131643198521776,0.436056596620248,-0.508642510260046,0.245402906835695,0,0.341548006113625,0,0,0,0.127261825177328,-0.391418038687803,0,0,0,0.252631797763578
DGB,0,0.115713252963132,0,0.0512707759062085,-0.157565084862015,0,0,0.184204239542287,0,0.462835277939143,0.0000000000000000138777878078145,0,0,-0.0691049605666719,0,0,0,-0.375696860265056
BV010082.INDEX,0,0,0.0657638269738414,0,-0.0617866760672919,0,-0.0764487465217783,-0.0414699450835696,0,0.207320191782963,0.107890222762915,-0.00541299594226173,0.0530035037416627,0,0,0,0,0.109201393979453
CVIX.INDEX,0,-0.00000000000000000346944695195361,-0.0634464317937897,0.126654787422476,0.0471984906913729,0,-0.104631985218395,-0.11106201840726,0.13535642904518,0.217031870234303,0.139627587086027,0.021922385657323,0,0,0,0,0,0.404409013687251
DXY.INDEX,0,0,0,0.00350795886209809,-0.00848111540834298,0,0.0242278389215598,-0.0119375152216731,-0.0136805062744904,0,0,0,0,0.129958772339591,0.0172489784195514,0,0,0
SPX.INDEX,0.016232207080565,0.0178795510708721,-0.0180084453599875,-0.0248823513661603,0,0,-0.0166481935817609,0,0,-0.0140472074812493,0.038275334239037,0,-0.00337753735052918,-0.0109156967721722,0,0,0,-0.0276722063376417
VIX.INDEX,0,0.0112319996413455,0,-0.000000000000000000433680868994202,0,0,-0.143672735523252,-0.148293195659402,-0.0767660912320781,0.0267283942287465,0.199603759399424,0.118308524166567,-0.049325584561668,-0.282756526043984,0.340069888861979,0,0,0
