,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB
BTC,0,0.0680584633521053,-0.00909427733817313,0.386665652311223,0.0210672684682838,0,-0.107637538852874,-8.89300692494721e-05,0,0.0370078628577123,0.0387168673868673,2.16840434497101e-19,-0.0131025404062607
ETH,0.511643666966786,0,0.119237645109262,0,0.120213899802952,0.118780302633704,0.335501197173954,-0.0610762005920876,0,0.110432302318409,0.0163666990971739,0,-0.115277621971834
XRP,0.101037563610997,0,0,0,-0.0465890400778737,0.0369290890225223,0,0.135671039536849,0.182017150849101,0.411958312167912,-0.177013292628155,0,-0.170989637396932
LTC,0.630670498933835,-0.375423212569287,0.0337000990049918,0,-0.0153387530832586,0.105985971282964,0.0761838861493426,0.0240531463808852,0.104482655229238,0,0.0205134067931319,-0.0178510833215511,0.0351294819870994
XMR,0,0.861946068944015,-0.00110281546326606,0,0,0.30120912257257,0.0851579301281844,0,0,0,-0.261194849833049,-0.0461013068967969,0
ETC,0,0,0.0561585027926057,0,0.0277422059266557,0,0,-0.0981522177782144,0,0.0800715886560276,-0.0535639341300841,0,0.312390293966197
DASH,0,0,0.029560708410951,0,0.0248297673441848,0,0,0.0396898249367674,0,0,-0.0752589565732757,-0.0974187683623091,0
XEM,0,0,0.190255108087514,0,0.384723728151335,0.131064042947183,-0.786528144888304,0,0,0.142539163300065,0.0302191046948819,-0.113815940612812,-0.0285252639311347
DOGE,0,0.0985390482707269,0.116585049450357,0,-0.150690705062079,0.103504279446943,0,0.0977076344679444,0,-0.13532952187502,0.0404014292885429,-0.0103474566213062,0.0823786571222289
XLM,0,-0.0345114536063325,0.549169681191721,-0.413759758324481,0.0420902254093151,0.114609009579409,-0.195324057789898,-0.1663932766821,0,0,0.0305944183488114,-0.0588062678118081,0.177217862911207
NEO,0,2.43234715959837,-2.85683590820433,0,-0.991181200650529,0,0,0.262644941700338,0.815265323184098,1.20904437853465,0,-0.133129791814393,-0.847670396688851
ZEC,0,0,0,0,0,0,-6.41636740038997,-0.353343261413018,0,0,-0.645918100449916,0,-1.50813467948068
DGB,0,-0.0253486352631922,-0.0790492421777168,0,-0.197740312048088,-0.155379057107057,0.414305607266314,0,0,0.291592989990243,-0.116769310703643,-0.0486862863335038,0
